purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0318200048525000017;22;;article;Закупка № 0318200048525000017 Обоснование НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318200048525000017 Обоснование НМЦК.xls;22:  (максимальной) цены контракта: часть 6 ст 22 Федерального закона 44-ФЗ от 5 апреля 2;
0318200067725000001;22;567;orders+article;Закупка № 0318200067725000001 2. Обоснование НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318200067725000001 2. Обоснование НМЦК.xls;22: й) цены контракта в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44- | й) цены контракта в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44-;567: кой Федерации от 2 октября 2013 года  № 567 «Об утверждении методических рекомендац | ской Федерации от 2 октября 2013 года № 567 «Об утверждении методических рекомендац
0318300119425000468;;567;orders;Закупка № 0318300119425000468 НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0318300119425000468 НМЦК.xlsx;;"567: ического развития Российской Федерации №567 от 02.10.2013 ""Об утверждении методичес"
0319100001325000037;22;567;orders+article;Закупка № 0319100001325000037 Приложение 1 (Обоснование НМЦК скеги).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319100001325000037 Приложение 1 (Обоснование НМЦК скеги).xlsx;22: плением в качестве приоритетного в ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44-;567: ком» (утв. Приказом МЭР от 02.10.2013 № 567). В отношении объекта закупки отсутству
0320100011025000021;22;567;orders+article;Закупка № 0320100011025000021 Приложение №2 Обоснование НМЦК спасательный плот спускаемого типа.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0320100011025000021 Приложение №2 Обоснование НМЦК спасательный плот спускаемого типа.xlsx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0320100018325000009;;567;orders;Закупка № 0320100018325000009 Обоснование НМЦК_плот.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0320100018325000009 Обоснование НМЦК_плот.xlsx;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац | зом Минэкономразвития РФ от 02.10.2013 №567 расчет произведен с помощью стандартных"
0320100018725000190;22|34;567;orders+article;Закупка № 0320100018725000190 Расчет НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0320100018725000190 Расчет НМЦК.xls;22: лее - НМЦК) проведено в соответствии со ст.22 Федерального закона от 05.04.2013 № 44- || 34: ого использования средств университета (ст. 34 Бюджетного кодекса РФ), Заказчик принял;"567: инэкономразвития России от 02.10.2013 № 567 ""Об утверждении Методических рекомендац"
0324400000825000003;22;567;orders+article;Закупка № 0324400000825000003 Приложение № 1 Обоснование начальной (максимальной) цены контракта.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0324400000825000003 Приложение № 1 Обоснование начальной (максимальной) цены контракта.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на
0329400001725000037;22;567;orders+article;Закупка № 0329400001725000037 Приложение 2 Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0329400001725000037 Приложение 2 Обоснование НМЦК.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на
0333400000325000005;22;567;orders+article;Закупка № 0333400000325000005 Приложение №2 Расчет НМЦК_мониторинг.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0333400000325000005 Приложение №2 Расчет НМЦК_мониторинг.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на
0333400000325000026;22;567;orders+article;Закупка № 0333400000325000026 Приложение № 2 Расчет НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0333400000325000026 Приложение № 2 Расчет НМЦК.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на
0338100004825000014;22;;article;Закупка № 0338100004825000014 Обоснованию НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0338100004825000014 Обоснованию НМЦК.xlsx;22: В соответствии с ч.6 статьи 22 Федерального закона от 05.04.2013 N 44-;
